"","first","second","grade","spec"
"1","AA","DD",6,"Y"
"2","AB","DD",6,"R"
"3","AF","BA",6,"Q"
"4","DD","DA",6,"Q"
"5","CD","EC",6,"X"
"6","DD","CE",6,"Y"
"7","CD","FA",6,"X"
"8","CD","CC",6,"W"
"9","BA","AF",6,"R"
"10","CB","CA",6,"T"
"11","CC","CA",6,"U"
"12","CD","CA",6,"Q "
"13","BC","CA",6,"U"
"14","DD","DA",6,"Y"
"15","ED","AD",6,"R"
"16","AE","AC",6,"Z"
"17","AB","BA",6,"Y"
"18","CD","EC",6,"X"
"19","CA","CC",6,"U"
"20","EB","CC",6,"U"
"21","BF","CE",6,"R"
"22","BB","CD",6,"X"
"23","AC","AE",6,"Z"
"24","CC","FB",6,"U"
"25","DC","BB",6,"X"
"26","BD","CF",6,"X"
"27","DB","DA",6,"Y"
"28","DD","DA",6,"Y"
"29","DB","DD",6,"Y"
"30","BC","AF",6,"U"
"31","CF","DE",7,"Y"
"32","DF","BF",7,"R"
"33","CB","CA",7,"Z"
"34","BE","CA",7,"X"
"35","EA","CA",7,"X"
"36","CB","CA",7,"X"
"37","CB","CA",7,"U"
"38","CC","CA",7,"X"
"39","CD","CA",7,"X"
"40","BC","CA",7,"U"
"41","BF","CA",7,"R"
"42","CE","CA",7,"V"
"43","AC","AD",7,"X"
"44","BD","BE",7,"X"
"45","AE","DF",7,"Z"
"46","CB","DF",7,"X"
"47","AC","DF",7,"X"
"48","AA","DD",7,"Y"
"49","AA","DD",7,"Y"
"50","AA","DD",7,"Y"
"51","CD","DD",7,"Y"
"52","AA","DD",7,"Y"
"53","EE","DD",7,"U"
"54","CD","DD",7,"Y"
"55","DB","AA",7,"Y"
"56","AA","FC",7,"Y"
"57","BE","CC",7,"U"
"58","EF","FD",7,"Y"
"59","CF","FE",7,"Y"
"60","BB","DD",7,"X"
"61","CD","DD",7,"Y"
"62","BA","AB",7,"Y"
"63","CD","EC",7,"Y"
"64","BE","EE",7,"X"
"65","CE","CC",7,"Q "
"66","CD","CC",7,"U"
"67","ED","CC",7,"X"
"68","BB","CC",7,"X"
"69","BE","CE",7,"U"
"70","DD","CE",7,"Y"
"71","AC","CD",7,"X"
"72","ED","CD",7,"U"
"73","FF","CD",7,"W"
"74","AC","CD",7,"Y"
"75","DD","CD",7,"Y"
"76","DD","CD",7,"Y"
"77","AE","GA",7,"R"
"78","AE","GA",7,"R"
"79","AE","GA",7,"X"
"80","AE","GA",7,"V"
"81","BA","ED",7,"R"
"82","BE","ED",7,"U"
"83","EB","ED",7,"V"
"84","CD","ED",7,"X"
"85","FD","EF",7,"V"
"86","FD","EF",7,"R"
"87","CD","BB",7,"X"
"88","BF","BB",7,"R"
"89","BC","BB",7,"X"
"90","BB","CF",7,"X"
"91","AE","AC",7,"R "
"92","DD","DA",7,"Q"
"93","BE","CA",7,"X"
"94","BE","CA",7,"X"
"95","CB","CA",7,"Z"
"96","CB","CA",7,"X"
"97","CC","CA",7,"X"
"98","BE","CC",7,"Y"
"99","BE","CC",7,"Q"
"100","DB","DD",7,"Y"
"101","BE","CD",7,"R"
"102","ED","CD",7,"Y"
"103","ED","CD",7,"X"
"104","BB","CD",7,"X"
"105","BC","CD",7,"R "
"106","ED","AF",7,"X"
"107","BF","AF",7,"R"
"108","CF","AF",7,"U"
"109","BC","AF",7,"U"
"110","GB","BC",7,"Y"
"111","AF","BC",7,"U"
"112","AF","BC",7,"Y"
"113","AC","BA",7,"R"
"114","AB","BA",7,"Y"
"115","CF","AE",7,"Q"
"116","DB","AA",7,"Y"
"117","DF","AA",7,"Q"
"118","GC","AA",7,"Y"
"119","ED","BF",7,"X"
"120","AF","BF",7,"Y"
"121","BF","CA",7,"U"
"122","CC","CA",7,"U"
"123","AC","CA",7,"R"
"124","AE","CA",7,"X"
"125","CB","CA",7,"Q"
"126","CC","CA",7,"U"
"127","AC","AD",7,"Z"
"128","AF","BA",7,"X"
"129","AF","BA",7,"X"
"130","BB","BE",7,"X"
"131","CC","BE",7,"Q"
"132","CC","BE",7,"X"
"133","CC","BE",7,"X"
"134","CB","DF",7,"Z"
"135","CB","DF",7,"Z"
"136","CB","DF",7,"X"
"137","AA","DD",7,"Y"
"138","AA","DD",7,"Y"
"139","AA","DD",7,"Y"
"140","CD","DD",7,"Y"
"141","CD","DD",7,"X"
"142","AA","DD",7,"Y"
"143","BC","DD",7,"X"
"144","DB","AA",7,"W"
"145","EA","FD",7,"U"
"146","EF","FD",7,"Y"
"147","CC","GE",7,"R"
"148","AA","DD",7,"Y"
"149","BE","EE",7,"X"
"150","BE","EE",7,"U"
"151","GD","CC",7,"W"
"152","BB","CC",7,"X"
"153","CA","CC",7,"U"
"154","CD","CC",7,"U"
"155","CA","CC",7,"U"
"156","BB","CC",7,"X"
"157","DF","CE",7,"R"
"158","CA","CE",7,"X"
"159","AE","GA",7,"V"
"160","DC","ED",7,"T"
"161","BB","ED",7,"X"
"162","CD","ED",7,"X"
"163","BF","ED",7,"R"
"164","DF","ED",7,"R"
"165","CC","KB",7,"X"
"166","AD","EA",7,"R"
"167","EF","EA",7,"T"
"168","CF","KC",7,"Z"
"169","EE","BB",7,"U"
"170","CC","BB",7,"X"
"171","BC","BB",7,"U"
"172","CD","KD",7,"X"
"173","AE","CF",7,"R "
"174","DF","AC",7,"Z"
"175","DF","AC",7,"R"
"176","ED","AC",7,"X"
"177","KA","CA",7,"V"
"178","BB","CA",7,"X"
"179","CB","CA",7,"X"
"180","CC","CA",7,"X"
"181","EB","CA",7,"V"
"182","BE","CC",7,"X"
"183","BE","CD",7,"X"
"184","CB","CD",7,"Q"
"185","CB","KE",7,"X"
"186","ED","AB",7,"R"
"187","AB","KF",7,"Y"
"188","BA","AF",7,"R"
"189","CC","AF",7,"X"
"190","CA","AF",7,"V"
"191","BC","AF",7,"U"
"192","ED","BC",7,"X"
"193","AC","BA",7,"R"
"194","DF","BF",8,"R"
"195","CA","BF",8,"U"
"196","CB","CA",8,"T"
"197","AC","CA",8,"U"
"198","CC","CA",8,"X"
"199","CC","CA",8,"U"
"200","CC","CA",8,"U"
"201","CC","CA",8,"U"
"202","EB","CA",8,"Q"
"203","BC","CA",8,"X"
"204","CB","CA",8,"V"
"205","CC","CA",8,"V"
"206","EB","CA",8,"R "
"207","ED","AD",8,"V"
"208","AD","BA",8,"R"
"209","KA","BA",8,"W"
"210","CF","BA",8,"R "
"211","AB","BA",8,"R "
"212","CB","DF",8,"X"
"213","CB","DF",8,"X"
"214","AC","DF",8,"R"
"215","CD","DD",8,"Y"
"216","CD","DD",8,"X"
"217","CD","DD",8,"U"
"218","BC","DD",8,"U"
"219","BC","DD",8,"U"
"220","AA","FE",8,"Y"
"221","BA","EE",8,"R"
"222","BB","CC",8,"X"
"223","CA","CC",8,"U"
"224","CA","CD",8,"W"
"225","EB","ED",8,"V"
"226","FD","EF",8,"Y"
"227","FD","EA",8,"Y"
"228","EF","EA",8,"R"
"229","KF","EA",8,"X"
"230","BC","BB",8,"U"
"231","AE","CB",8,"W"
"232","BA","AC",8,"R"
"233","CB","AC",8,"Z"
"234","CB","AC",8,"Z"
"235","CB","CA",8,"X"
"236","AC","CA",8,"X"
"237","CC","CA",8,"X"
"238","CC","CA",8,"X"
"239","CC","CA",8,"W"
"240","BD","CC",8,"X"
"241","BE","CC",8,"R"
"242","ED","CC",8,"X"
"243","CA","CC",8,"X"
"244","CD","CC",8,"X"
"245","CD","DD",8,"Q"
"246","DF","AF",8,"Z"
"247","BA","AF",8,"R "
"248","BA","AF",8,"Q"
"249","ED","AF",8,"X"
"250","BC","AF",8,"X"
"251","BA","BC",8,"U"
"252","CA","BC",8,"V"
"253","CA","BC",8,"R"
"254","CF","DE",8,"R"
"255","ED","AA",8,"Y"
"256","DF","BF",8,"R"
"257","CC","CA",8,"U"
"258","CC","CA",8,"X"
"259","CC","CA",8,"X"
"260","ED","BA",8,"R "
"261","AB","BA",8,"R"
"262","CD","LB",8,"T"
"263","BA","LA",8,"R"
"264","BB","CC",8,"X"
"265","AC","CE",8,"R"
"266","CA","CE",8,"Y"
"267","ED","KF",8,"Q"
"268","FD","EF",8,"R"
"269","KA","BB",8,"Q"
"270","ED","BB",8,"X"
"271","EB","BB",8,"Y"
"272","DF","CF",8,"R"
"273","AD","AC",8,"Z"
"274","DF","AC",8,"Y"
"275","DF","AC",8,"Z"
"276","DB","DA",8,"Y"
"277","DB","DA",8,"Y"
"278","LC","CA",8,"X"
"279","BA","AF",8,"Q"
"280","CF","BD",9,"W"
"281","AF","LD",9,"T"
"282","AD","AE",9,"Z"
"283","AC","AE",9,"Y"
"284","AC","EA",9,"X"
"285","DF","CB",9,"Z"
"286","AD","AC",9,"Z"
"287","CD","DD",9,"Y"
"288","BA","LE",9,"R"
"289","BA","AB",9,"R"
"290","CB","DF",7,"X"
